Country,Accuracy(Full),Precision(Full),Recall(Full),F1(Full),specificity_full,Accuracy(Chunking),Precision(Chunking),Recall(Chunking),F1(Chunking),Specificity_Chunking,word_count,readability_score,language
Afghanistan,0.955,1.0,0.955,0.977,0.0,0.955,1.0,0.955,0.977,0.0,13646.0,2.58,English
Argentina,0.909,0.941,0.941,0.941,0.8,0.909,0.895,1.0,0.944,0.0,12062.0,-0.54,Spanish
Australia,0.909,1.0,0.9,0.947,1.0,1.0,1.0,1.0,1.0,0.0,6730.0,0.15,English
Barbados,0.955,0.95,1.0,0.974,0.667,0.864,0.864,1.0,0.927,0.0,7225.0,5.42,English
Canada,0.864,0.9,0.947,0.923,0.333,0.909,0.905,1.0,0.95,0.0,13027.0,15.71,English
Colombia,0.864,0.9,0.947,0.923,0.333,0.909,0.905,1.0,0.95,0.0,13217.0,15.0,English
Costa Rica,0.818,0.8,1.0,0.889,0.333,0.727,0.727,1.0,0.842,0.0,15685.0,23.77,Spanish
El Salvador,0.955,0.941,1.0,0.97,0.833,0.864,0.842,1.0,0.914,0.0,,,Spanish
Finland,0.955,1.0,0.933,0.966,1.0,0.864,0.833,1.0,0.909,0.0,,,Spanish
India,0.955,0.947,1.0,0.973,0.75,0.864,0.857,1.0,0.923,0.0,14303.0,17.13,English
Libya,1.0,1.0,1.0,1.0,1.0,0.909,0.905,1.0,0.95,0.0,16126.0,11.04,English
Malta,0.955,0.955,1.0,0.977,0.0,1.0,1.0,1.0,1.0,0.0,16226.0,22.71,English
Myanmar,0.909,0.95,0.95,0.95,0.5,0.909,0.95,0.95,0.95,0.0,15019.0,20.28,English
Oman,0.955,1.0,0.95,0.974,1.0,0.955,0.952,1.0,0.976,0.0,17160.0,13.28,English
Paraguay,0.909,0.882,1.0,0.938,0.714,0.818,0.789,1.0,0.882,0.0,7370.0,19.26,English
Peru,0.727,0.714,1.0,0.833,0.143,0.773,0.75,1.0,0.857,0.0,8737.0,19.37,Spanish
Spain,0.909,0.905,1.0,0.95,0.333,0.909,0.905,1.0,0.95,0.0,43933.0,15.0,Spanish
Sweden,0.818,0.842,0.941,0.889,0.4,0.818,0.81,1.0,0.895,0.0,24940.0,22.75,Spanish
United States,0.909,0.9,1.0,0.947,0.5,0.909,0.9,1.0,0.947,0.0,7780.0,19.4,English
,0.909,0.95,0.95,0.95,0.5,1.0,1.0,1.0,1.0,0.0,,,English
